situation,mode,overall,alpha,lam,test_loss
Similar task,Projection,True,1.000000,0.300000,0.442609
Unrelated task,Projection,True,0.010000,0.300000,0.453601
Unrelated task,Projection,True,0.100000,0.300000,0.457788
Unrelated task,Projection,True,1.000000,0.300000,0.465036
Same task,Projection,True,0.010000,1.000000,0.427053
Same task,Projection,True,0.100000,1.000000,0.426714
Same task,Projection,True,1.000000,1.000000,0.427815
Similar task,Projection,True,0.010000,1.000000,0.435681
Similar task,Projection,True,0.100000,1.000000,0.428156
Similar task,Projection,True,1.000000,1.000000,0.441193
Unrelated task,Projection,True,0.010000,1.000000,0.475307
Unrelated task,Projection,True,0.100000,1.000000,0.489393
Unrelated task,Projection,True,1.000000,1.000000,0.496671
Same task,Projection,True,0.010000,3.000000,0.428901
Same task,Projection,True,0.100000,3.000000,0.430206
Same task,Projection,True,1.000000,3.000000,0.431892
Similar task,Projection,True,0.010000,3.000000,0.432706
Similar task,Projection,True,0.100000,3.000000,0.455427
Similar task,Projection,True,1.000000,3.000000,0.444483
Unrelated task,Projection,True,0.010000,3.000000,0.508542
Unrelated task,Projection,True,0.100000,3.000000,0.519715
Unrelated task,Projection,True,1.000000,3.000000,0.521141
Same task,Projection,True,0.010000,10.000000,0.416838
Same task,Projection,True,0.100000,10.000000,0.436596
Same task,Projection,True,1.000000,10.000000,0.439166
Similar task,Projection,True,0.010000,10.000000,0.445443
Similar task,Projection,True,0.100000,10.000000,0.448353
Similar task,Projection,True,1.000000,10.000000,0.452062
Unrelated task,Projection,True,0.010000,10.000000,0.542368
Unrelated task,Projection,True,0.100000,10.000000,0.541671
Unrelated task,Projection,True,1.000000,10.000000,0.542734
Same task,Projection,True,0.010000,0.100000,0.441552
Same task,Projection,True,0.100000,0.100000,0.440196
Same task,Projection,True,1.000000,0.100000,0.438547
Similar task,Projection,True,0.010000,0.100000,0.439795
Similar task,Projection,True,0.100000,0.100000,0.437667
Similar task,Projection,True,1.000000,0.100000,0.438698
Unrelated task,Projection,True,0.010000,0.100000,0.448372
Unrelated task,Projection,True,0.100000,0.100000,0.446558
Unrelated task,Projection,True,1.000000,0.100000,0.447842
Same task,Projection,True,0.010000,0.300000,0.428731
Same task,Projection,True,0.100000,0.300000,0.422224
Same task,Projection,True,1.000000,0.300000,0.432284
Similar task,Projection,True,0.010000,0.300000,0.423894
Similar task,Projection,True,0.100000,0.300000,0.420576
Similar task,Projection,True,1.000000,0.300000,0.430545
Unrelated task,Projection,True,0.010000,0.300000,0.456098
Unrelated task,Projection,True,0.100000,0.300000,0.449006
Unrelated task,Projection,True,1.000000,0.300000,0.456497
Same task,Projection,True,0.010000,1.000000,0.427505
Same task,Projection,True,0.100000,1.000000,0.405927
Same task,Projection,True,1.000000,1.000000,0.421568
Similar task,Projection,True,0.010000,1.000000,0.428305
Similar task,Projection,True,0.100000,1.000000,0.428300
Similar task,Projection,True,1.000000,1.000000,0.435996
Unrelated task,Projection,True,0.010000,1.000000,0.477233
Unrelated task,Projection,True,0.100000,1.000000,0.485603
Unrelated task,Projection,True,1.000000,1.000000,0.487413
Same task,Projection,True,0.010000,3.000000,0.412057
Same task,Projection,True,0.100000,3.000000,0.430067
Same task,Projection,True,1.000000,3.000000,0.430662
Similar task,Projection,True,0.010000,3.000000,0.430523
Similar task,Projection,True,0.100000,3.000000,0.441642
Similar task,Projection,True,1.000000,3.000000,0.451158
Unrelated task,Projection,True,0.010000,3.000000,0.505626
Unrelated task,Projection,True,0.100000,3.000000,0.520462
Unrelated task,Projection,True,1.000000,3.000000,0.518488
Same task,Projection,True,0.010000,10.000000,0.421913
Same task,Projection,True,0.100000,10.000000,0.438646
Same task,Projection,True,1.000000,10.000000,0.438465
Similar task,Projection,True,0.010000,10.000000,0.452853
Similar task,Projection,True,0.100000,10.000000,0.453273
Similar task,Projection,True,1.000000,10.000000,0.542650
Unrelated task,Projection,True,0.010000,10.000000,0.542275
Unrelated task,Projection,True,0.100000,10.000000,0.529858
Unrelated task,Projection,True,1.000000,10.000000,0.542461
Same task,Projection,True,0.010000,0.100000,0.437972
Same task,Projection,True,0.100000,0.100000,0.431224
Same task,Projection,True,1.000000,0.100000,0.439620
Similar task,Projection,True,0.010000,0.100000,0.434671
Similar task,Projection,True,0.100000,0.100000,0.431601
Similar task,Projection,True,1.000000,0.100000,0.438549
Unrelated task,Projection,True,0.010000,0.100000,0.443083
Unrelated task,Projection,True,0.100000,0.100000,0.444717
Unrelated task,Projection,True,1.000000,0.100000,0.445909
Same task,Projection,True,0.010000,0.300000,0.436835
Same task,Projection,True,0.100000,0.300000,0.424816
Same task,Projection,True,1.000000,0.300000,0.432429
Similar task,Projection,True,0.010000,0.300000,0.437493
Similar task,Projection,True,0.100000,0.300000,0.432900
Similar task,Projection,True,1.000000,0.300000,0.440139
Unrelated task,Projection,True,0.010000,0.300000,0.447916
Unrelated task,Projection,True,0.100000,0.300000,0.449434
Unrelated task,Projection,True,1.000000,0.300000,0.453012
Same task,Projection,True,0.010000,1.000000,0.408462
Same task,Projection,True,0.100000,1.000000,0.397425
Same task,Projection,True,1.000000,1.000000,0.410667
Similar task,Projection,True,0.010000,1.000000,0.423074
Similar task,Projection,True,0.100000,1.000000,0.428953
Similar task,Projection,True,1.000000,1.000000,0.440233
Unrelated task,Projection,True,0.010000,1.000000,0.480191
Unrelated task,Projection,True,0.100000,1.000000,0.488641
Unrelated task,Projection,True,1.000000,1.000000,0.492940
Same task,Projection,True,0.010000,3.000000,0.416306
Same task,Projection,True,0.100000,3.000000,0.412104
Same task,Projection,True,1.000000,3.000000,0.415781
Similar task,Projection,True,0.010000,3.000000,0.431616
Similar task,Projection,True,0.100000,3.000000,0.440216
Similar task,Projection,True,1.000000,3.000000,0.449814
Unrelated task,Projection,True,0.010000,3.000000,0.500069
Unrelated task,Projection,True,0.100000,3.000000,0.512916
Unrelated task,Projection,True,1.000000,3.000000,0.521802
Same task,Projection,True,0.010000,10.000000,0.414515
Same task,Projection,True,0.100000,10.000000,0.426263
Same task,Projection,True,1.000000,10.000000,0.421691
Similar task,Projection,True,0.010000,10.000000,0.430337
Similar task,Projection,True,0.100000,10.000000,0.460696
Similar task,Projection,True,1.000000,10.000000,0.456317
Unrelated task,Projection,True,0.010000,10.000000,0.542809
Unrelated task,Projection,True,0.100000,10.000000,0.542056
Unrelated task,Projection,True,1.000000,10.000000,0.542733
Same task,Projection,True,0.010000,0.100000,0.438929
Same task,Projection,True,0.100000,0.100000,0.443395
Same task,Projection,True,1.000000,0.100000,0.446400
Similar task,Projection,True,0.010000,0.100000,0.444142
Similar task,Projection,True,0.100000,0.100000,0.447800
Similar task,Projection,True,1.000000,0.100000,0.452003
Unrelated task,Projection,True,0.010000,0.100000,0.447187
Unrelated task,Projection,True,0.100000,0.100000,0.443897
Unrelated task,Projection,True,1.000000,0.100000,0.450943
Same task,Projection,True,0.010000,0.300000,0.417231
Same task,Projection,True,0.100000,0.300000,0.418190
Same task,Projection,True,1.000000,0.300000,0.423461
Similar task,Projection,True,0.010000,0.300000,0.429240
Similar task,Projection,True,0.100000,0.300000,0.437015
Similar task,Projection,True,1.000000,0.300000,0.439880
Unrelated task,Projection,True,0.010000,0.300000,0.444348
Unrelated task,Projection,True,0.100000,0.300000,0.449202
Unrelated task,Projection,True,1.000000,0.300000,0.454768
Same task,Projection,True,0.010000,1.000000,0.414380
Same task,Projection,True,0.100000,1.000000,0.429449
Same task,Projection,True,1.000000,1.000000,0.417402
Similar task,Projection,True,0.010000,1.000000,0.427681
Similar task,Projection,True,0.100000,1.000000,0.430227
Similar task,Projection,True,1.000000,1.000000,0.440596
Unrelated task,Projection,True,0.010000,1.000000,0.474143
Unrelated task,Projection,True,0.100000,1.000000,0.484579
Unrelated task,Projection,True,1.000000,1.000000,0.495624
Same task,Projection,True,0.010000,3.000000,0.415432
Same task,Projection,True,0.100000,3.000000,0.418847
Same task,Projection,True,1.000000,3.000000,0.425877
Similar task,Projection,True,0.010000,3.000000,0.430205
Similar task,Projection,True,0.100000,3.000000,0.443743
Similar task,Projection,True,1.000000,3.000000,0.443415
Unrelated task,Projection,True,0.010000,3.000000,0.492027
Unrelated task,Projection,True,0.100000,3.000000,0.519003
Unrelated task,Projection,True,1.000000,3.000000,0.521335
Same task,Projection,True,0.010000,10.000000,0.405064
Same task,Projection,True,0.100000,10.000000,0.427911
Same task,Projection,True,1.000000,10.000000,0.431888
Similar task,Projection,True,0.010000,10.000000,0.437034
Similar task,Projection,True,0.100000,10.000000,0.455596
Similar task,Projection,True,1.000000,10.000000,0.450897
Unrelated task,Projection,True,0.010000,10.000000,0.543497
Unrelated task,Projection,True,0.100000,10.000000,0.527726
Unrelated task,Projection,True,1.000000,10.000000,0.543354
Same task,Projection,True,0.010000,0.100000,0.421889
Same task,Projection,True,0.100000,0.100000,0.428461
Same task,Projection,True,1.000000,0.100000,0.430934
Similar task,Projection,True,0.010000,0.100000,0.428100
Similar task,Projection,True,0.100000,0.100000,0.431207
Similar task,Projection,True,1.000000,0.100000,0.436724
Unrelated task,Projection,True,0.010000,0.100000,0.438575
Unrelated task,Projection,True,0.100000,0.100000,0.440631
Unrelated task,Projection,True,1.000000,0.100000,0.439948
Same task,Projection,True,0.010000,0.300000,0.422715
Same task,Projection,True,0.100000,0.300000,0.415710
Same task,Projection,True,1.000000,0.300000,0.432948
Similar task,Projection,True,0.010000,0.300000,0.427968
Similar task,Projection,True,0.100000,0.300000,0.429921
Similar task,Projection,True,1.000000,0.300000,0.437335
Unrelated task,Projection,True,0.010000,0.300000,0.445488
Unrelated task,Projection,True,0.100000,0.300000,0.444694
Unrelated task,Projection,True,1.000000,0.300000,0.453740
Same task,Projection,True,0.010000,1.000000,0.405200
